Account Name,City,County,State,Status,Budget Cycle,Engagement Date,Proposal Sent,ZIP,Agency Count,Budget Cycle,CPE Contract end date,Organization Type,Population,Category Type,Sworn Officers,Total Employees, Dispatch Seats ,Jail Beds,CAD Vendor,Dispatched By,CAD vendor since,RMS Vendor,RMS vendor since,CPE Vendor,CPE Last Upgraded,CPE Contract End,Jail Vendor,Jail vendor since,ANL Vendor ID
Hopkins County Sheriff's Office,Sulphur Springs,Hopkins,TX,,,,,75482-2670,1,,,"County, Sheriff or Police",40000,Law,25,50,  2.00 ,192,Sam Houston / Crimes,,1/1/1997,Net Data,1/1/1997,Motorola Solutions / Vesta*,,,Net Data,1/1/1997,
Starr County Sheriff's Department,Rio Grande City,Starr,TX,,,,,78582-3550,1,,,"County, Sheriff or Police",40000,Law,52,111,  2.00 ,275,Securus / Archonix Systems,,11/1/2017,Securus / Archonix Systems,11/1/2017,,,,In House Custom System*,3/26/2015,
Matagorda County Sheriff's Department,Bay City,Matagorda,TX,,,,,77414-6001,1,,,"County, Sheriff or Police",40000,Law,30,60,  2.00 ,192,Tyler Technologies / InCode*,,1/1/2004,Tyler Technologies / Odyssey*,1/1/2004,,,,Tyler Technologies / Odyssey*,1/1/2004,
Hobbs Police Department,Hobbs,Lea,NM,,,,,88240-8302,1,,,"Police, Municipal",39349,Law,94,128,,12,CAPERS,,1/2/2015,CAPERS,1/2/2015,,,,Tyler Technologies / New World (Aegis)*,1/2/2009,
McClain County Communications (911),Purcell,McClain,OK,,,,,73080-1646,1,,,Dispatch Center (Stand Alone),39343,Dispatch,0,6,  3.00 ,0,Caliber Public Safety / Global*,,1/1/2001,,,microdata,,,,,
Schertz Police Department,Schertz,Guadalupe,TX,,,,,78154-0001,1,,,"Police, Municipal",39225,Law,51,72,  4.00 ,0,Central Square / FATPOT*,,9/1/2010,NESH,6/26/2019,Motorola Solutions / Vesta,,,,,
Kyle Police Department,Kyle,Hays,TX,,,,,78640-0040,1,,,"Police, Municipal",39060,Law,50,74,  4.00 ,0,Tyler Technologies / New World (Aegis)*,,8/1/2011,Tyler Technologies / New World (Aegis)*,8/1/2011,,,,,,
Sequoyah County Sheriff's Department,Sallisaw,Sequoyah,OK,,,,,74955-4655,1,,,"County, Sheriff or Police",38972,Law,21,24,  2.00 ,0,ODIS,,1/1/2005,ODIS,1/1/2005,,,,ODIS,1/1/2005,
Texas State University,San Marcos,Caldwell,TX,,,,,78666,1,,,"Police, University & College",38808,Law,40,70,  2.00 ,,Intellichoice / eFORCE*,,,Intellichoice / eFORCE*,8/1/2016,,,,,,
DeSoto Police Department,DeSoto,Dallas,TX,,,,,75115-,1,,,"Police, Municipal",38340,Law,80,110,  8.00 ,0,Does not use*,Southwest Regional Communications Center,1/1/2005,CentralSquare / Superion / SunGard / OSSI*,1/1/2005,,,,,,
Pontotoc County 911,Ada,Pontotoc,OK,,,,,74820,1,,,Dispatch Center (Stand Alone),38224,Dispatch,0,12,,,,,,,,Motorola Solutions / CallWorks*,6/1/2017,,,,
Lenexa Police Department,Lenexa,Johnson,KS,,,,,66215-2887,1,,,"Police, Municipal",38000,Law,97,127,  5.00 ,0,Hexagon / Intergraph*,,7/1/2014,Versaterm / Versadex*,1/1/1999,AT&T / Interact,,,,,Versaterm / Versadex*
Pittsburg Police Department,Pittsburg,Crawford,KS,,,,,66762,1,,,"Police, Municipal",38000,Law,52,79,  3.00 ,0,Tyler Technologies / New World (Aegis)*,,11/1/2015,Tyler Technologies / New World (Aegis)*,11/1/2015,AT&T / Interact,,,,,Tyler Technologies / New World (Aegis)*
Warren Police Department,Warren,Macomb,MI,,,,,48093-2386,1,,,"Police, Municipal",135125,Law,220,240,  6.00 ,0,CLEMIS,,1/1/1995,CLEMIS,1/1/1995,,,,,,CLEMIS
The Colony Police Department,The Colony,Denton,TX,,,,,75056-1219,1,,,"Police, Municipal",38000,Law,63,95,  4.00 ,0,Tyler Technologies / New World (Aegis)*,,1/1/2008,Tyler Technologies / New World (Aegis)*,1/1/2008,Motorola Solutions / Vesta,,,,,
Val Verde County Sheriff's Department,Del Rio,Val Verde,TX,,,,,78841,1,,,"County, Sheriff or Police",38000,Law,40,70,  2.00 ,846,"CIS - Computer Information Systems, Inc.",,1/1/2000,"CIS - Computer Information Systems, Inc.",1/1/2000,,,,,,
University of North Texas,Denton,Denton,TX,,,,,76201,1,,,"Police, University & College",37973,Law,50,52,  3.00 ,0,"Sun Ridge Systems, Inc / RIMS*",,1/1/2000,"Sun Ridge Systems, Inc / RIMS*",1/1/2000,,,,,,
Scotts Bluff County Sheriff's Office,Gering,Scotts Bluff,NE,,,,,69341-2446,1,,,"County, Sheriff or Police",37900,Law,18,22,  3.00 ,0,CentralSquare / TriTech / Zuercher,,,CentralSquare / TriTech / Zuercher,10/23/2018,,,,Sam Houston / Crimes*,,CentralSquare / TriTech / Zuercher
Washington County Sheriff's Department,West Bend,Washington,WI,,,,,53095-7986,1,,,"County, Sheriff or Police",132386,Law,75,165,  5.00 ,321,Pro Phoenix,,1/1/2014,Pro Phoenix,1/1/1990,,1/1/2016,,Pro Phoenix,2/1/2013,
Wright County Sheriff's Department,Buffalo,Wright,MN,,,,,55313,1,,,"County, Sheriff or Police",131311,Law,144,252,  7.00 ,288,CentralSquare / TriTech / Zuercher,,5/1/2014,CentralSquare / TriTech / Zuercher,5/1/2015,Intrado / West / Viper*,1/1/2014,,CentralSquare / TriTech / Zuercher,5/1/2013,
Hurst Police Department,Hurst,Tarrant,TX,,,,,76054-3302,1,,,"Police, Municipal",37000,Law,75,110,  6.00 ,0,CentralSquare / Superion / SunGard / OSSI*,,1/1/2014,CentralSquare / Superion / SunGard / OSSI*,1/1/2014,Motorola Solutions / Vesta,,,,,
San Juan Police Department,San Juan,Hidalgo,TX,,,,,78589,1,,,"Police, Municipal",36891,Law,47,58,  2.00 ,0,Tyler Technologies / InCode*,,1/1/2009,Tyler Technologies / InCode*,1/1/2009,,,,,,
Rosenberg Police Department,Rosenberg,Fort Bend,TX,,,,,77471-5124,1,,,"Police, Municipal",36360,Law,70,92,  6.00 ,0,,,,,,,,,Sam Houston / Crimes*,,
Cowley County 911,Winfield,Cowley,KS,,,,,67156,1,,,Dispatch Center (Stand Alone),36000,Dispatch,0,19,  6.00 ,0,,,,,,,,,,,
Barton County Sheriff's Department,Great Bend,Barton,KS,,,,,67530-4015,1,,,"County, Sheriff or Police",36000,Law,35,45,,0,Does not use*,,,Interpol*,10/1/2015,,,,Interpol*,10/1/2015,Interpol*
Sherman Police Department,Sherman,Grayson,TX,,,,,75091-1173,1,,,"Police, Municipal",36000,Law,60,75,  3.00 ,0,CentralSquare / Superion / SunGard / OSSI*,,1/1/2006,CentralSquare / Superion / SunGard / OSSI*,1/1/2006,Motorola Solutions / Vesta*,7/2/2017,,,,
Jasper County Sheriff's Department,Jasper,Jasper,TX,,,,,75951-3923,1,,,"County, Sheriff or Police",36000,Law,20,55,  2.00 ,50,Tyler Technologies / InCode*,,4/1/2012,Tyler Technologies / New World Aegis,4/1/2012,,,,,4/1/2012,
Geary County Sheriff's Department,Junction City,Geary,KS,,,,,66441-0867,1,,,"County, Sheriff or Police",35850,Law,35,87,,0,Does not use*,Junction City Police Department,,Tyler Technologies / New World (Aegis)*,6/1/2018,,,,Tyler Technologies / New World (Aegis)*,6/1/2018,Tyler Technologies / New World (Aegis)*
Owasso Police Department,Owasso,Tulsa,OK,,,,,74055-2923,1,,,"Police, Municipal",35784,Law,60,75,  4.00 ,0,M&M Microsystem / SOMS,,1/1/2011,M&M Microsystem / SOMS,1/1/2011,Motorola Solutions / Vesta*,,,,,M&M Microsystem / SOMS
Del Rio Police Department,Del Rio,Val Verde,TX,,,,,78840-5502,1,,,"Police, Municipal",35470,Law,77,104,  4.00 ,0,"CIS - Computer Information Systems, Inc.",,1/1/2009,"CIS - Computer Information Systems, Inc.",1/1/2009,,,,,,
Sterling Heights Police Department,Sterling Height,Macomb,MI,,,,,48313-4180,1,,,"Police, Municipal",130000,Law,165,222,  6.00 ,0,Does not use*,Macomb County Sheriff's Department,,Tyler Technologies / New World (Aegis)*,1/1/2015,Does not use*,,,,,Tyler Technologies / New World (Aegis)*
Mayes County Sheriff's Department,Pryor,Mayes,OK,,,,,74361-2433,1,,,"County, Sheriff or Police",35400,Law,25,55,  2.00 ,150,ODIS,,1/1/2002,ODIS,1/1/2002,Motorola Solutions / CallWorks*,6/1/2017,,ODIS,1/1/2002,
Madison County Sheriff's Department,Madison,Madison,NE,,,,,68748-0209,1,,,"County, Sheriff or Police",35144,Law,35,65,  2.00 ,111,Other,,1/1/2017,Jammin,1/1/2002,Motorola Solutions / CallWorks*,,,Jammin,1/1/1996,
La Porte Police Department,La Porte,Harris,TX,,,,,77572-0846,1,,,"Police, Municipal",35086,Law,75,110,  5.00 ,0,CentralSquare / Superion / SunGard / OSSI*,,8/1/2009,CentralSquare / Superion / SunGard / OSSI*,8/1/2009,,,,,,
Scott County Sheriff's Department,Shakopee,Scott,MN,,,,,55379,1,,,"County, Sheriff or Police",129928,Law,60,200,  8.00 ,140,CentralSquare / TriTech / Zuercher / LETG*,,7/1/2016,CentralSquare / TriTech / Zuercher / LETG*,12/1/2015,Cassidian Communications / PlantCML*,10/1/2013,,CentralSquare / TriTech / Zuercher / LETG*,12/1/2015,CentralSquare / TriTech / Zuercher / LETG*
Twin Falls Police Department,Twin Falls,Twin Falls,ID,,,,,83303,1,,,"Police, Municipal",35000,Law,77,97,  3.00 ,0,EIS-Executive Info Sys / PS.NET,,12/1/2000,EIS-Executive Info Sys / PS.NET,12/1/2000,,,,,,
Marathon County Sheriff's Department,Wausau,Marathon,WI,,,,,54403,1,,,"County, Sheriff or Police",125834,Law,79,300,  12.00 ,299,CentralSquare / Superion / SunGard / OSSI*,,1/11/2018,CentralSquare / Superion / SunGard / OSSI*,11/1/2018,Frontier*,,,CentralSquare / Superion / SunGard / OSSI*,11/1/2018,
Clovis Police Department,Clovis,Curry,NM,,,,,88102-0862,1,,,"Police, Municipal",35000,Law,65,77,  8.00 ,0,CAPERS,,1/1/2013,CAPERS,1/1/2013,Motorola Solutions / CallWorks*,1/1/2017,,,,CAPERS
Jackson County Sheriff's Department,Altus,Jackson,OK,,,,,73521-3812,1,,,"County, Sheriff or Police",35000,Law,14,38,  1.00 ,172,ODIS,,1/1/2002,ODIS,1/1/2002,Motorola Solutions / CallWorks*,,,ODIS,1/1/2002,
Gray County Sheriff's Office,Pampa,Gray,TX,,,,,79065-6441,1,,,"County, Sheriff or Police",35000,Law,14,40,  1.00 ,78,KOLOGIK / Copsync,,1/1/2006,KOLOGIK / Copsync,1/1/2006,,,,Justice Solutions,1/1/2006,
Hill County Sheriff's Department,Hillsboro,Hill,TX,,,,,76645-0283,1,,,"County, Sheriff or Police",34855,Law,28,44,  2.00 ,207,Intellichoice / eFORCE*,,9/1/2011,Intellichoice / eFORCE*,9/1/2011,,,,Tyler Technologies / Odyssey*,8/2/2017,
Bartlesville Police Department,Bartlesville,Washington,OK,,,,,74003-2605,1,,,"Police, Municipal",34748,Law,63,82,  4.00 ,15,Caliber Public Safety / Sleuth*,,1/1/2000,Caliber Public Safety / Sleuth*,1/1/2000,Sentinals,10/1/2017,,,,
Leawood Police Department,Leawood,Johnson,KS,,,,,66206,1,,,"Police, Municipal",34565,Law,62,81,  4.00 ,0,Hexagon,,1/1/2004,Niche Software Solutions,2/1/2019,AT&T / Interact,,,,,Niche Software Solutions
Ford County Communication Center,Dodge City,Ford,KS,,,,,67801-4456,1,,,Dispatch Center (Stand Alone),34381,Dispatch,0,16,  8.00 ,0,LogiSYS,,1/1/2002,,,AT&T / Interact,,,,,
Burnet County Sheriff's Office,Burnet,Burnet,TX,,,,,78611-0216,1,,,"County, Sheriff or Police",34147,Law,50,60,  3.00 ,98,Tyler Technologies / Incode,,1/1/2009,Tyler Technologies ,1/1/2009,Solacom,,,,,
Nacogdoches City Police Department,Nacogdoches,Nacogdoches,TX,,,,,75963-5030,1,,,"Police, Municipal",34079,Law,63,87,  3.00 ,150,Spillman Technologies,,,Spillman Technologies,,,,,,,
Bryan County Sheriff's Department,Durant,Bryan,OK,,,,,74701-4703,1,,,"County, Sheriff or Police",34000,Law,10,30,  2.00 ,156,ODIS,,,ODIS,1/1/2006,,,,ODIS,1/1/2006,
Cedar Rapids Police Department,Cedar Rapids,Linn,IA,,,,,52404-2103,1,,,"Police, Municipal",120758,Law,214,281,  8.00 ,0,Hexagon / Intergraph*,,1/1/1996,Hexagon / Intergraph*,1/1/1997,Zetron*,,,,,Hexagon / Intergraph*
Lyon County Emergency Communications Center,Emporia,LYON,KS,,,,,66801,1,,,Dispatch Center (Stand Alone),33392,Dispatch,0,15,  4.00 ,,,,,,,,,,,,
Grapevine Police Department,Grapevine,Tarrant,TX,,,,,76051-5505,1,,,"Police, Municipal",33358,Law,97,135,  5.00 ,28,Sam Houston / Crimes*,,1/1/2004,Sam Houston / Crimes*,1/1/2004,,,,,,
Montgomery County Sheriff's Department,Independence,Montgomery,KS,,,,,67301-3714,1,,,"County, Sheriff or Police",33314,Law,30,65,  3.00 ,0,Interpol*,,3/1/2011,Interpol*,3/1/2011,,,,Interpol*,3/1/2011,
Dade County 911,Greenfield,Dade,MO,,,,,65661,1,,,Dispatch Center (Stand Alone),120000,Dispatch,,6,  2.00 ,0,Caliber Public Safety*,,1/1/2007,,,Intrado / West*,7/1/2018,,,,
Ottawa County Sheriff's Department,Miami,Ottawa,OK,,,,,74354-7041,1,,,"County, Sheriff or Police",33000,Law,8,24,  4.00 ,125,ODIS,,1/1/2004,ODIS,1/1/2004,Motorola Solutions / CallWorks*,,,,,
McCurtain County Sheriff's Department,Idabel,McCurtain,OK,,,,,74745-3819,1,,,"County, Sheriff or Police",33000,Law,22,26,  1.00 ,0,ODIS,,1/1/1996,ODIS,1/1/1996,Zetron*,,,Sam Houston / Crimes*,,
Mckinney Police Department,McKinney,Collin,TX,,,,,75070-0517,1,,,"Police, Municipal",33000,Law,150,180,  8.00 ,0,CentralSquare / Superion / SunGard / OSSI*,,1/1/2009,CentralSquare / Superion / SunGard / OSSI*,1/1/2009,,,,,,
Brown County Sheriff's Office,Brownwood,Brown,TX,,,,,76801-1437,1,,,"County, Sheriff or Police",33000,Law,31,79,  4.00 ,192,Does not use*,Brownwood Police Department,,Net Data,1/1/2003,,,,Net Data,,
Medina County Sheriff's Department,Hondo,Medina,TX,,,,,78861,1,,,"County, Sheriff or Police",33000,Law,42,80,  3.00 ,96,Tyler Technologies / Odyssey*,,8/1/2011,Tyler Technologies / InCode*,8/1/2011,,,,Tyler Technologies / Odyssey*,8/1/2011,
Atascosa County Sheriff's Office,Jourdanton,Atascosa,TX,,,,,78026-3508,1,,,"County, Sheriff or Police",33000,Law,30,77,  2.00 ,132,,,1/1/2014,,1/1/2014,,,,,1/1/2014,
Caldwell County Sheriff's Department,Lockhart,Caldwell,TX,,,,,78644-4200,1,,,"County, Sheriff or Police",33000,Law,30,90,  2.00 ,301,eDoc Communications,,1/1/2009,eDoc Communications,1/1/2009,,,,eDoc Communications,1/1/2009,
Coppell Police Department,Coppell,Dallas,TX,,,,,75019-2127,1,,,"Police, Municipal",33000,Law,69,80,,0,Does not use*,North Texas EMS Center,11/1/2010,Integrated Computer Systems,11/1/2010,,,,,11/1/2010,
Texarkana Police Department,Texarkana,Bowie,TX,,,,,75501-5666,1,,,"Police, Municipal",32794,Law,98,108,  3.00 ,0,Does not use*,Bowie County Sheriff's Office,1/1/2011,Tyler Technologies / Odyssey*,1/1/2011,,,,,,
Jasper County Sheriff's Department,Carthage,Jasper,MO,,,,,64836-1542,1,,,"County, Sheriff or Police",118596,Law,110,150,  5.00 ,120,Does not use*,Jasper County 911,,Cody Systems,1/1/2007,,,,Cody Systems,,
Miami County Sheriff's Office,Paola,Miami,KS,,,,,66071-1755,1,,,"County, Sheriff or Police",32553,Law,35,82,  4.00 ,0,Tyler Technologies / New World (Aegis)*,,1/1/2017,Tyler Technologies / New World (Aegis)*,1/1/2017,AT&T / Interact,,,Tyler Technologies / New World (Aegis)*,1/1/2017,Tyler Technologies / New World (Aegis)*
Lufkin Police Department,Lufkin,Angelina,TX,,,,,75902-0190,1,,,"Police, Municipal",32071,Law,77,100,  5.00 ,0,Sam Houston / Crimes*,,8/1/2011,Sam Houston / Crimes*,8/1/2011,,,,,,Sam Houston / Crimes
Harvey County Sheriff's Department,Newton,Harvey,KS,,,,,67114-1801,1,,,"County, Sheriff or Police",32000,Law,15,35,,110,Does not use*,Harvey County 911,,Interpol*,1/1/2010,,,,,,Interpol*
Independence Police Department,Independence,Jackson,MO,,,,,64050-3013,1,,,"Police, Municipal",117306,Law,206,293,  15.00 ,0,Tyler Technologies / New World (Aegis)*,,1/1/1992,Tyler Technologies / New World (Aegis)*,1/1/1992,Other,,,,,Tyler Technologies / New World (Aegis)*
Cibola County Sheriff's Department,Grants,Cibola,NM,,,,,87020-2526,1,,,"County, Sheriff or Police",32000,Law,13,17,  2.00 ,0,Omnigo / ITI*,,1/1/2006,Caliber Public Safety / Sleuth*,11/1/2009,Intrado / West*,1/1/2013,,Caliber Public Safety / Sleuth*,1/1/1993,
University of Oklahoma - Norman,Norman,Cleveland,OK,,,,,73019,1,,,"Police, University & College",32000,Law,40,70,  2.00 ,0,End2End / ARMS*,,1/1/2000,End2End / ARMS*,1/1/2000,Other,,,,,
Maverick County Sheriff's Department,Eagle Pass,Maverick,TX,,,,,78852,1,,,"County, Sheriff or Police",32000,Law,45,100,  2.00 ,250,Intellichoice / eFORCE*,,4/30/2018,Justice Solutions*,1/1/2000,,,,Justice Solutions*,7/1/2016,
Adams County Sheriff's Office,Hastings,Adams,NE,,,,,68902-7503,1,,,"County, Sheriff or Police",31364,Law,21,50,,40,,Hastings Police Department,1/1/2001,Caliber Public Safety / Sleuth*,1/1/2001,,,,,1/1/2001,Caliber Public Safety / Sleuth*
Alamogordo Public Safety (Police Department),Alamogordo,Otero,NM,,,,,88310-6759,1,,,"Police, Municipal",31283,Law,59,88,  4.00 ,0,CentralSquare / Superion / SunGard / HTE*,,1/1/1994,CentralSquare / Superion / SunGard / HTE*,1/1/1994,Motorola Solutions / CallWorks*,1/1/2016,,,,CentralSquare / Superion / SunGard / HTE*
Grant County Sheriff's Department,Silver City,Grant,NM,,,,,88061-4911,1,,,"County, Sheriff or Police",31002,Law,40,40,  2.00 ,0,CentralSquare / Superion / SunGard / HTE*,,1/1/2002,CentralSquare / Superion / SunGard / HTE*,1/1/2005,Intrado / West*,,,CentralSquare / Superion / SunGard / HTE*,,
University of Houston,Houston,Harris,TX,,,,,77204,1,,,"Police, University & College",31000,Law,50,260,  4.00 ,0,End2End / ARMS*,,1/1/2003,End2End / ARMS*,1/1/2003,,,,,,
Cooke County Sheriff's Department,Gainesville,Cooke,TX,,,,,76240-4707,1,,,"County, Sheriff or Police",31000,Law,30,70,  2.00 ,200,Caliber Public Safety / Global*,,1/1/2002,Net Data,1/1/2009,,,,Net Data,1/1/2009,
Custer County Sheriff's Department,Arapaho,Custer,OK,,,,,73620-0040,1,,,"County, Sheriff or Police",30700,Law,15,40,  3.00 ,0,ODIS,,1/1/2000,ODIS,,,,,ODIS,1/1/2000,
Cass County Sheriff's Department,Linden,Cass,TX,,,,,75563-5019,1,,,"County, Sheriff or Police",30313,Law,20,40,  1.00 ,96,Net Data,,1/1/2001,Net Data,1/1/2001,,,,Net Data,1/1/2001,
La Salle County Sheriff's Department,Ottawa,La Salle,IL,,,,,61350-1047,1,,,"County, Sheriff or Police",112000,Law,39,121,  5.00 ,300,M&M Microsystem / SOMS,,1/1/1997,M&M Microsystem / SOMS,1/1/1997,Frontier*,,,M&M Microsystem / SOMS,1/1/1997,M&M Microsystem / SOMS
Garden City Police Department,Garden City,Finney,KS,,,,,67846-0499,1,,,"Police, Municipal",30000,Law,64,94,  4.00 ,0,CentralSquare / Superion / SunGard / OSSI*,,4/1/2016,CentralSquare / Superion / SunGard / OSSI*,4/1/2016,Motorola Solutions / Vesta*,4/3/2017,1/1/2022,,,CentralSquare / Superion / SunGard / OSSI*
Prairie Village Police Department,Prairie Village,Johnson,KS,,,,,66208-4230,1,,,"Police, Municipal",30000,Law,47,63,  2.00 ,0,Hexagon / Intergraph*,,1/1/2002,Niche Software Solutions,,AT&T / Interact,,,,,
Platte County Sheriff's Department,Columbus,Platte,NE,,,,,68601,1,,,"County, Sheriff or Police",30000,Law,18,49,  7.00 ,0,Caliber Public Safety / Sleuth*,,1/1/2000,Caliber Public Safety / Sleuth*,1/1/2000,,,,,,
Ardmore Police Department,Ardmore,Carter,OK,,,,,73401-1413,1,,,"Police, Municipal",30000,Law,50,80,  3.00 ,0,Omnigo / ITI*,,1/1/1998,Omnigo / ITI*,1/1/1998,Motorola Solutions / CallWorks*,,,,,Omnigo / ITI*
Logan County Sheriff's Department,Guthrie,Logan,OK,,,,,73044-4939,1,,,"County, Sheriff or Police",30000,Law,50,85,  2.00 ,0,ODIS,,1/1/2002,ODIS,1/1/2002,,,,ODIS,1/1/2002,
Frisco Police Department,Frisco,Collin,TX,,,,,75034-3000,1,,,"Police, Municipal",30000,Law,130,250,  10.00 ,0,Integrated Computer Systems,,1/1/2004,Integrated Computer Systems,11/1/1998,Solacom,,,,,Other
Midlothian Police Department,Midlothian,Ellis,TX,,,,,76065-2998,1,,,"Police, Municipal",30000,Law,53,80,  4.00 ,0,Sam Houston / Crimes*,,3/1/2010,Sam Houston / Crimes*,3/1/2010,Solacom,,,,,
Socorro Police Department,Socorro,El Paso,TX,,,,,79927-5047,1,,,"Police, Municipal",30000,Law,30,40,  3.00 ,0,Hexagon / Intergraph*,,4/1/2010,Hexagon / Intergraph*,4/1/2010,,,,,,
Polk County Sheriff's Department,Livingston,Polk,TX,,,,,77351-2127,1,,,"County, Sheriff or Police",30000,Law,54,110,  3.00 ,367,Southern Software,,7/1/2011,Southern Software,7/1/2011,Motorola Solutions / Vesta*,,,Southern Software,7/1/2011,
Montague County Sheriff's Department,Montague,Montague,TX,,,,,76251-0127,1,,,"County, Sheriff or Police",30000,Law,13,29,  2.00 ,101,Justice Solutions,,1/1/2012,Justice Solutions,1/1/2012,Motorola Solutions / CallWorks*,,,Justice Solutions,,
Titus County Sheriff's Department,Mt Pleasant,Titus,TX,,,,,75455-4442,1,,,"County, Sheriff or Police",30000,Law,30,65,  2.00 ,182,Net Data,,1/1/2011,Net Data,1/1/2011,,,,Net Data,,
Jim Wells County Sheriff's Department,Alice,Jim Wells,TX,,,,,78332-4750,1,,,"County, Sheriff or Police",30000,Law,55,70,  2.00 ,90,PTS Solutions,,1/1/2006,PTS Solutions,1/1/2003,,,,PTS Solutions,1/1/2006,
Peoria Police Department,Peoria,Peoria,IL,,,,,61602-1592,1,,,"Police, Municipal",111400,Law,230,250,  5.00 ,0,"ADSi - Application Data Systems, Inc.",,,"ADSi - Application Data Systems, Inc.",1/1/1986,,,,,,
Austin County Sheriff's Office,Bellville,Austin,TX,,,,,77418-1344,1,,,"County, Sheriff or Police",29563,Law,45,60,  4.00 ,100,Tyler Technologies / Odyssey*,,9/1/2010,Tyler Technologies / Odyssey*,9/1/2010,Motorola Solutions / Vesta*,,,Tyler Technologies / Odyssey*,,
Caddo County Sheriff's Department,Anadarko,Caddo,OK,,,,,73005-3409,1,,,"County, Sheriff or Police",29343,Law,21,36,  3.00 ,75,ODIS,,1/1/2012,ODIS,1/1/1999,Zetron*,1/1/2015,,ODIS,1/1/1999,
Erath County Sheriff's Department,Stephenville,Erath,TX,,,,,76401-5321,1,,,"County, Sheriff or Police",29000,Law,23,60,  4.00 ,72,Net Data,,1/1/2000,Net Data,1/1/2000,,,,Net Data,1/1/2000,
Deer Park Police Department,Deer Park,Harris,TX,,,,,77536-0700,1,,,"Police, Municipal",29000,Law,59,90,  3.00 ,0,CentralSquare / Superion / SunGard / OSSI*,,1/1/2010,CentralSquare / Superion / SunGard / OSSI*,1/1/2010,Motorola Solutions / Vesta,,,,,
Kleberg County Sheriff's Department,Kingsville,Kleberg,TX,,,,,78364-5924,1,,,"County, Sheriff or Police",29000,Law,40,75,  2.00 ,124,KOLOGIK / Copsync,,5/1/2010,PTS Solutions,5/1/2010,Intrado / West*,,,Jail Tracker,5/1/2010,
Van Zandt County Sheriff's Department,Canton,Van Zandt,TX,,,,,75103-1016,1,,,"County, Sheriff or Police",29000,Law,15,70,,192,Net Data,,,Net Data,,,,,Net Data,1/1/1995,
Seguin Police Department,Seguin,Guadalupe,TX,,,,,78155-4912,1,,,"Police, Municipal",28319,Law,56,78,  3.00 ,0,Sam Houston / Crimes*,,1/1/2010,Sam Houston / Crimes*,1/1/2010,,,,,,
Madison County Sheriff's Office,Rexburg,Madison,ID,,,,,83440-1911,1,,,"County, Sheriff or Police",28222,Law,45,70,  3.00 ,100,Computer Arts,,1/1/2000,Computer Arts,1/1/2000,microdata,,,Computer Arts,,Computer Arts
Livonia Police Department,Livonia,Wayne,MI,,,,,48154-5499,1,,,"Police, Municipal",109000,Law,140,200,  3.00 ,0,CLEMIS,,1/1/1996,CLEMIS,1/1/1996,,,,Motorola Solutions / Premier One*,,
Sheboygan County Sheriff,Sheboygan,Sheboygan,WI,,,,,53081-4610,1,,,"County, Sheriff or Police",109000,Law,71,181,  3.00 ,0,Paragon,,,Paragon,,,,,Paragon,,
E-COM Dispatch Center,Homewood,Cook,IL,,,,,60430,1,,,Dispatch Center (Stand Alone),108000,Dispatch,0,27,  8.00 ,0,,,,,,,,,,,
Elgin Police Department,Elgin,Kane,IL,,,,,60120-5503,1,,,"Police, Municipal",108000,Law,185,250,  7.00 ,0,Tyler Technologies / New World (Aegis)*,,1/1/2012,Tyler Technologies / New World (Aegis)*,1/1/2012,,,,,,Tyler Technologies / New World (Aegis)*
Carlsbad Police Department,Carlsbad,Eddy,NM,,,,,88220-5632,1,,,"Police, Municipal",27219,Law,70,85,  4.00 ,0,Tyler Technologies ,,11/1/2018,Tyler Technologies ,11/1/2018,Intrado / West*,,,,,Tyler Technologies 
Eagle Pass Police Department,Eagle Pass,Maverick,TX,,,,,78852,1,,,"Police, Municipal",27197,Law,100,130,  2.00 ,0,"CIS - Computer Information Systems, Inc.",,1/1/2009,"CIS - Computer Information Systems, Inc.",4/1/2017,,,,,,
Kankakee County Sheriff's Department,Kankakee,Kankakee,IL,,,,,60901-3936,1,,,"County, Sheriff or Police",103500,Law,50,100,  5.00 ,696,Tyler Technologies / New World (Aegis)*,,1/1/2005,Tyler Technologies / New World (Aegis)*,1/1/2005,,,,Tyler Technologies / New World (Aegis)*,1/1/2005,Tyler Technologies / New World (Aegis)*
Franklin County Sheriff's Department,Union,Franklin,MO,,,,,63084-3221,1,,,"County, Sheriff or Police",103330,Law,110,132,  6.00 ,120,Omnigo / ITI*,,1/1/2012,Omnigo / ITI*,1/1/2012,Intrado / West*,1/30/2018,1/1/2023,Omnigo / ITI*,,
Jefferson County Sheriff's Department,Rigby,Jefferson,ID,,,,,83442,1,,,"County, Sheriff or Police",27000,Law,25,60,  3.00 ,135,Computer Arts,,1/1/1996,Computer Arts,1/1/1999,Comtech,4/1/2013,,Computer Arts,1/1/1999,Computer Arts
New Mexico State University,Las Cruces,Dona Ana,NM,,,,,88003,1,,,"Police, University & College",27000,Law,21,36,  3.00 ,0,Tyler Technologies / New World (Aegis)*,,10/9/2017,Tyler Technologies / New World (Aegis)*,10/9/2017,Intrado / West / Viper*,,,,,Tyler Technologies / New World (Aegis)*
Copperas Cove Police Department,Copperas Cove,Coryell,TX,,,,,76522-2296,1,,,"Police, Municipal",27000,Law,54,73,  4.00 ,0,"Sun Ridge Systems, Inc / RIMS*",,1/1/1999,"Sun Ridge Systems, Inc / RIMS*",1/1/1999,,,,,,
