Legal Account Name,Address
Albuquerque International Sunport,"2200 Sunport Blvd, Albuquerque, NM 87106"
Albany International Airport,"737 Albany Shaker Rd, Albany, NY 12211"
Buffalo Niagara International Airport,"4200 Genesee St, Buffalo, NY 14225"
John F. Kennedy International Airport,"Queens, NY 11430"
LaGuardia Airport,"East Elmhurst, NY 11371"
Long Island MacArthur Airport,"100 Arrival Ave, Ronkonkoma, NY 11779"
New York Stewart International Airport,"1180 1st St, New Windsor, NY 12553"
Greater Rochester International Airport,"1200 Brooks Ave, Rochester, NY 14624"
Syracuse Hancock International Airport,"1000 Col Eileen Collins Blvd, Syracuse, NY 13212"
Westchester County Airport,"240 Airport Rd, West Harrison, NY 10604"
Asheville Regional Airport,"61 Terminal Dr #1, Fletcher, NC 28732"
Charlotte Douglas International Airport,"5501 Josh Birmingham Pkwy, Charlotte, NC 28208"
Piedmont Triad International Airport (Greensboro),"1000 Ted Johnson Pkwy, Greensboro, NC 27409"
Raleigh-Durham International Airport,"2400 John Brantley Blvd, Morrisville, NC 27560"
Hector International Airport (Fargo),"2801 32nd Ave N, Fargo, ND 58102"
Akron-Canton Airport,"5400 Lauby Rd NW, North Canton, OH 44720"
Cleveland Hopkins International Airport,"5300 Riverside Dr, Cleveland, OH 44135"
John Glenn Columbus International Airport,"4600 International Gateway, Columbus, OH 43219"
Dayton International Airport,"3600 Terminal Dr, Vandalia, OH 45377"
Will Rogers World Airport (Oklahoma City),"7100 Terminal Dr, Oklahoma City, OK 73159"
Tulsa International Airport,"7777 Airport Dr, Tulsa, OK 74115"
Eugene Airport,"28801 Douglas Dr, Eugene, OR 97402"
Rogue Valley International-Medford Airport,"1000 Terminal Loop Pkwy, Medford, OR 97504"
Portland International Airport,"7000 NE Airport Way, Portland, OR 97218"
Redmond Municipal Airport,"2522 Jesse Butler Cir, Redmond, OR 97756"
Lehigh Valley International Airport (Allentown),"3311 Airport Rd, Allentown, PA 18109"
Harrisburg International Airport,"1 Terminal Dr, Middletown, PA 17057"
Philadelphia International Airport,"8500 Essington Ave, Philadelphia, PA 19153"
Pittsburgh International Airport,"1000 Airport Blvd, Pittsburgh, PA 15231"
T.F. Green Airport (Providence),"2000 Post Rd, Warwick, RI 02886"
Charleston International Airport,"5500 International Blvd, North Charleston, SC 29418"
Columbia Metropolitan Airport,"3250 Airport Blvd, West Columbia, SC 29170"
Greenville-Spartanburg International Airport,"2000 GSP Dr, Greer, SC 29651"
Myrtle Beach International Airport,"1100 Jetport Rd, Myrtle Beach, SC 29577"
Rapid City Regional Airport,"4550 Terminal Rd, Rapid City, SD 57703"
Sioux Falls Regional Airport,"2801 N Jaycee Ln, Sioux Falls, SD 57104"
Chattanooga Metropolitan Airport,"1001 Airport Rd, Chattanooga, TN 37421"
McGhee Tyson Airport (Knoxville),"2055 Alcoa Hwy, Alcoa, TN 37701"
Memphis International Airport,"2491 Winchester Rd, Memphis, TN 38116"
Nashville International Airport,"1 Terminal Dr, Nashville, TN 37214"
Rick Husband Amarillo International Airport,"10801 Airport Blvd, Amarillo, TX 79111"
Austin-Bergstrom International Airport,"3600 Presidential Blvd, Austin, TX 78719"
Dallas Love Field,"8008 Herb Kelleher Way, Dallas, TX 75235"
